tpep_pickup_datetime,counts
2016-06-26 08:00:00,334
2016-06-26 09:00:00,476
2016-06-26 10:00:00,551
2016-06-26 11:00:00,548
2016-06-26 12:00:00,584
2016-06-26 13:00:00,518
2016-06-26 14:00:00,433
2016-06-26 15:00:00,391
2016-06-26 16:00:00,332
2016-06-26 17:00:00,344
2016-06-26 18:00:00,366
2016-06-26 19:00:00,366
2016-06-26 20:00:00,520
2016-06-26 21:00:00,655
2016-06-26 22:00:00,652
2016-06-26 23:00:00,613
2016-06-27 00:00:00,505
2016-06-27 01:00:00,302
2016-06-27 02:00:00,190
2016-06-27 03:00:00,97
2016-06-27 04:00:00,79
2016-06-27 05:00:00,155
2016-06-27 06:00:00,306
2016-06-27 07:00:00,484
2016-06-27 08:00:00,753
2016-06-27 09:00:00,927
2016-06-27 10:00:00,885
2016-06-27 11:00:00,924
2016-06-27 12:00:00,961
2016-06-27 13:00:00,1025
2016-06-27 14:00:00,1001
2016-06-27 15:00:00,947
2016-06-27 16:00:00,806
2016-06-27 17:00:00,982
2016-06-27 18:00:00,1090
2016-06-27 19:00:00,1279
2016-06-27 20:00:00,922
2016-06-27 21:00:00,973
2016-06-27 22:00:00,864
2016-06-27 23:00:00,857
2016-06-28 00:00:00,499
2016-06-28 01:00:00,199
2016-06-28 02:00:00,113
2016-06-28 03:00:00,90
2016-06-28 04:00:00,84
2016-06-28 05:00:00,108
2016-06-28 06:00:00,328
2016-06-28 07:00:00,523
2016-06-28 08:00:00,829
2016-06-28 09:00:00,1001
2016-06-28 10:00:00,925
2016-06-28 11:00:00,1028
2016-06-28 12:00:00,986
2016-06-28 13:00:00,990
2016-06-28 14:00:00,1007
2016-06-28 15:00:00,897
2016-06-28 16:00:00,688
2016-06-28 17:00:00,763
2016-06-28 18:00:00,953
2016-06-28 19:00:00,1225
2016-06-28 20:00:00,1055
2016-06-28 21:00:00,1043
2016-06-28 22:00:00,905
2016-06-28 23:00:00,697
2016-06-29 00:00:00,463
2016-06-29 01:00:00,227
2016-06-29 02:00:00,135
2016-06-29 03:00:00,108
2016-06-29 04:00:00,104
2016-06-29 05:00:00,135
2016-06-29 06:00:00,269
2016-06-29 07:00:00,554
2016-06-29 08:00:00,854
2016-06-29 09:00:00,1000
2016-06-29 10:00:00,970
2016-06-29 11:00:00,996
2016-06-29 12:00:00,1111
2016-06-29 13:00:00,1047
2016-06-29 14:00:00,979
2016-06-29 15:00:00,864
2016-06-29 16:00:00,647
2016-06-29 17:00:00,631
2016-06-29 18:00:00,817
2016-06-29 19:00:00,1138
2016-06-29 20:00:00,1095
2016-06-29 21:00:00,1138
2016-06-29 22:00:00,1064
2016-06-29 23:00:00,964
2016-06-30 00:00:00,654
2016-06-30 01:00:00,340
2016-06-30 02:00:00,167
2016-06-30 03:00:00,98
2016-06-30 04:00:00,124
2016-06-30 05:00:00,133
2016-06-30 06:00:00,308
2016-06-30 07:00:00,493
2016-06-30 08:00:00,787
2016-06-30 09:00:00,945
2016-06-30 10:00:00,864
2016-06-30 11:00:00,1003
2016-06-30 12:00:00,1008
2016-06-30 13:00:00,973
2016-06-30 14:00:00,923
2016-06-30 15:00:00,750
2016-06-30 16:00:00,540
2016-06-30 17:00:00,615
2016-06-30 18:00:00,655
2016-06-30 19:00:00,968
2016-06-30 20:00:00,924
2016-06-30 21:00:00,1057
2016-06-30 22:00:00,903
2016-06-30 23:00:00,899
